gp_pre_data     zhang_pre_data     hao_pre_data     svm_pre_data
0.32339     3.2057     1.9189     0.28826
0.35071     5.0699     3.1057     0.49789
0.34983     4.5787     2.9605     0.25134
0.33871     1.1796     1.1482     -0.24414
0.31118     2.8933     1.9752     0.43502
0.30746     2.934     1.7377     0.31215
0.30746     2.934     1.7377     0.31215
0.34969     8.7133     6.0973     -0.09715
0.28562     6.4322     4.7499     -0.75517
0.30289     4.1087     2.7764     0.056826
0.38182     5.2546     3.1248     0.78447
0.52301     5.575     3.8839     -0.29002
0.34353     3.3746     2.0285     0.68152
0.29568     2.7626     1.9442     0.44858
0.33224     3.9079     2.4438     0.28235
0.33747     3.6237     2.1032     0.67346
0.20814     2.6417     1.5305     0.34063
0.29099     2.9633     1.8345     0.32912
0.32408     2.8651     1.718     0.36843
0.3563     3.1725     1.9352     0.34039
0.16829     4.4672     3.1761     -0.24216
0.2246     4.0799     2.5707     0.33123
0.34976     3.6758     2.1821     0.24366
0.37386     9.9248     7.3673     -0.11973
0.38907     3.9996     2.2858     0.69196
0.40862     1.0465     1.0275     -0.22123
0.22711     4.0392     2.682     0.1904
0.30669     4.4935     2.9216     0.22023
0.38826     3.1174     1.8061     0.37604
0.34723     4.0589     2.4722     0.6269
0.30609     2.7235     1.618     0.31947
0.4076     3.3118     1.9736     0.34687
0.23979     4.972     3.6684     -0.44989
0.33803     4.2836     3.1885     -0.23291
0.41504     2.8235     1.6117     0.40159
0.18375     3.5629     2.1988     0.22681
0.28157     5.5231     4.0367     -0.2349
0.12644     4.0139     3.0781     -0.57719
0.40535     3.0566     1.8514     0.35958
0.2746     2.9026     2.1824     -0.031178
0.27915     3.016     1.8475     0.27188
0.33903     2.6406     1.4982     0.36368
0.30735     2.9752     1.7517     0.3613
0.30436     4.0759     2.6121     0.15381
0.28547     5.1378     3.3979     0.3905
0.37581     10.3457     7.6588     -0.13423
0.38479     5.1486     3.1576     0.47335
0.22273     3.19     2.437     -0.073595
0.35697     4.6446     3.029     0.25556
0.3915     3.0781     1.8243     0.35757
0.32397     12.7424     9.6413     -0.28485
0.3533     4.6575     2.9121     0.49318
0.38361     2.6914     1.6201     0.37099
0.21796     3.3364     2.0824     0.42474
0.22821     5.2256     3.7953     -0.37545
0.44189     2.7888     1.6097     0.39014
0.39844     8.7246     6.3957     -0.013827
0.21555     2.5735     1.479     0.34888
0.25746     3.6784     2.2513     0.24019
0.18882     3.4111     2.1445     0.27709
0.34718     3.053     1.8379     0.33397
0.25746     3.6784     2.2513     0.24019
0.22235     3.36     2.0974     0.22088
0.22494     3.3729     2.1103     0.21792
0.33538     4.3534     3.1664     -0.33833
0.35081     4.8816     3.0242     0.51792
0.3101     4.0102     3.0187     -0.53656
0.33189     3.0051     1.813     0.34032
0.37816     5.1122     3.1471     0.76176
0.3388     4.535     2.8136     0.65607
0.35527     2.4057     1.3407     0.4118
0.11852     3.6087     2.658     -0.31284
0.36953     4.108     2.5605     0.60855
0.34424     3.3171     1.8612     0.5769
0.33699     4.2233     2.5685     0.11239
0.32354     4.2871     2.8654     0.56829
0.18871     6.9718     5.3461     -0.51231
0.24053     2.4006     2.015     -0.3342
0.34924     2.4663     1.7533     0.21199
0.36581     4.5682     2.6825     0.75027
0.24019     2.8502     1.5666     0.41719
0.38182     5.0469     3.0248     0.67261
0.23361     3.0966     1.7691     0.48113
0.23361     3.0966     1.7691     0.48113
0.22725     2.7325     1.5889     0.33433
0.34134     4.8223     2.9857     0.69311
0.31158     2.8785     1.7649     0.35158
0.23161     3.9359     2.6565     0.14776
0.32515     5.2316     3.1992     0.4622
0.31358     2.5619     1.4521     0.37123
0.37312     4.6255     3.1379     0.17352
0.19334     1.9368     1.5168     -0.034917
0.33191     4.1871     2.5376     0.55024
0.38184     4.4918     3.2505     -0.091106
0.27569     2.9867     1.7244     0.50301
0.29556     3.3162     1.9956     0.339
0.43501     2.7148     1.5247     0.40596
0.22502     2.5458     1.9853     -0.13849
0.31928     4.0421     2.5224     0.20055
0.3841     4.7864     3.3842     0.13609
0.19788     3.9918     2.5419     0.48897
0.32959     3.4567     2.0485     0.67469
0.24829     5.3888     3.2631     0.18515
0.34364     3.8917     2.3945     0.31811
0.13515     4.0769     3.1611     -0.46514
0.32928     4.1793     2.9081     -0.033268
0.24043     3.2196     2.1299     0.56279
0.40421     1.1653     1.1017     -0.20844
0.33285     2.2356     1.7838     -0.10908
0.34527     3.5252     2.1544     0.30917
0.28861     3.1039     1.8284     0.30817
0.29237     4.7278     3.5641     -0.47835
0.32478     6.1436     4.5927     -0.29972
0.30952     4.1483     3.0877     -0.50164
0.39057     3.8035     2.2475     0.20015
0.33171     3.2965     1.9873     0.33522
0.45935     4.4273     2.7226     0.089774
0.31717     4.7041     2.8856     0.0093477
0.40048     4.6888     3.0332     0.17577
0.43504     6.2782     4.2643     0.11212
0.14756     4.3843     3.2472     -0.50602
0.30837     2.6996     1.5564     0.34469
0.25381     2.144     1.8867     -0.37348
0.024317     3.8317     2.948     -0.59612
0.30837     2.7     1.5568     0.34459
0.38967     5.6056     3.7012     -0.11009
0.34402     5.1994     3.2775     -0.15135
