Folds_Top1     GP     Zhangxing     Hao     SVM
Fold1          0.8      0.325      0.325      0.375
Fold2          0.725      0.225      0.2      0.45
Fold3          0.75      0.175      0.175      0.4
Fold4          0.775      0.325      0.325      0.35
Fold5          0.75      0.325      0.35      0.6
Average        0.76      0.275      0.275      0.435
-----------------------------------------------------
Folds_Sort     GP     Zhangxing     Hao     SVM
Fold1          0.375      0.125      0.175      0.15
Fold2          0.375      0.125      0.1      0.325
Fold3          0.35      0.1      0.1      0.125
Fold4          0.5      0.15      0.125      0.175
Fold5          0.45      0.1      0.125      0.25
Average        0.41      0.12      0.125      0.205
-----------------------------------------------------
